		lágyszárúaknál és fáknál				többnyire lágyszárúaknál			csak fáknál				hasonló növény										
Közönséges ternye	Alyssum alyssoides	fürt	szálas	ép	ülő	4 tagú	sárga	hengeres				A ternye fajok a keresztesvirágúak családjának tagjai, sárga virágjuk messziről felhívja magára a figyelmet. Magyarországon öt faj honos, például a sziklaszirtek védett faja, a sziklai ternye. Igen kicsi termetű faj, melynek még virágai sem olyan feltűnőek, mint a többi ternye fajé. Szálas, ép szélű levelei dúsan borítják a vékony, hengeres szárat. A fürtben nyíló virágok jellegtelenek, kicsik, eleinte sárga színűek, majd elvirágzás után kifehérednek. A becőkét, mely kerekded, csúcsán kicsípett, kissé szív alakú, körbeveszi zöld színű csésze, emiatt furcsa megjelenésű az elvirágozott növényke és a közönséges ternyétől is ebben különbözik. Száraz réteken találkozhatunk vele, április és május hónapban hozza virágait.											
Közönséges tiszafa	Taxus baccata	buga	tűlevél	ép	ülő	egyedi*	sárga	hengeres				Több néphiedelem és babona is fűződik a tiszafához. Akár több évszázadig, sőt évezredig is elél, lassan nő, de hatalmas méreteket érhet el. Kifejlett korában akár 25 méter magas is lehet. Kérge szép színű, foltokban, lapokban, csíkokban leváló. Tűlevelei laposak, sötétzöldek, felületük fényes, csúcsuk kihegyesedő, de nem szúrós. Örökzöld. Hímvirágai sárgák, gömbölyűek, magányosan vagy füzérkékben nyílnak, a nővirágok zöld színűek, kúp alakúak, kisebbek. Termése fényes barna, kúpos mag, melyet félig körbeölel a piros magköpeny. A növény minden része mérgező, kivéve a piros magköpenyt. Hazánkban a Bakony és a Bükk egyes részein él vadon.											
Közönséges torma	Armoracia rusticana	buga	lándzsás	fűrészes	nyeles	4 tagú	fehér	hengeres				A torma közismert növény, kiskertekben is megtalálható. Föld alatti, vaskos, piszkosfehér gyökérét ecettel és forró vízzel „szelídítik meg”, illóanyagai nagyon erősek, illata jellegzetes. Virágzó szára másfél méter magas is lehet. Hosszú nyelű levelei tőállóak, lándzsa alakúak, fűrészes szélűek, nagyok, akár fél méter hosszúra is megnőhetnek, megdörzsölve jellegzetes torma-illatot árasztanak. Virágzáskor hengeres szára megnyúlik, csúcsán buga virágzatban nyílnak a fehér színű, kicsi virágok. Termése becő. Gyógynövény is, nemcsak étvágygerjesztő hatása van, de a megfázás tüneteit is csillapítja. Jobban kedveli a nedves, nyirkos talajú élőhelyeket.											
Közönséges tyúkhúr	Stellaria media	magányos	lándzsás	ép	ülő	5 tagú	fehér	hengeres				Kora tavasszal, többnyire még a lombfakadás előtt találkozhatunk a tyúktaréj nemzetség tagjaival. Kedves, sárga virágaik szinte világítanak, mintha csillaggal lenne meghintve a föld. Vékony, hengeres szára felálló. A levelekkel együtt fehér, puha szőr szálak borítják. A levelek szálasak, ép szélűek, tőlevele csak egyetlen van, szárlevele több is. A sárga, kissé zöldes, hat leplű, csillag alakot formázó virágok ernyőszerű virágzatban nyílnak. A porzók hosszúak, sárgák. Termése tok. A sárga tyúktaréjtól (Gagea lutea) a szőrös levelek és szár alapján lehet megkülönböztetni. Néha már március végén megjelenik, és április végéig találhatunk rá, nedvesebb, üde talajú élőhelyeken, réteken, patakok mentén, árokpartokon.											
Közönséges vadgesztenye	Aesculus hippocastanum	fürt	összetett	fűrészes	nyeles		fehér		cserepes	barna	tok	Bokrétafának is hívják, s nem véletlenül: virágzás idején fehér virágfürtjei hatalmas csokorhoz teszik hasonlatossá. A kifejlett fa jellegzetes alakú, lombtalan állapotban is könnyen felismerhető, boltozatos, gömbölyded formájú. Durván repedezett, lapokban leváló kérge barna. Levelei tenyeresen összetettek, az 5-7 fordított tojásdad levélke széle fűrészes, fonákjukon vörösbarnán molyhosak. Rügyei nagyok, fényesek ragadósak. Virágai májusban nyílnak, akár 20 cm nagy fürtökben. Az öt tagú virágok fehérek, közepük sárga, majd piros vagy rózsaszín. Termése nagy méretű, tüskés, felnyíló tok, fényes barna, fehér "köldökű" magját a vadak nagyon szeretik, de emberi fogyasztásra nem alkalmas. Kertészeti felhasználás Több változatai is van, ahol a korona alak vagy levélforma eltér a szokásostól. Gyakran ültetik városokban, utak mellé, mivel jól tűri a légszennyezést. Kedvelt parkfa is. Hátránya viszont, hogy levelét aknázómolyok, gombák támadják meg, ilyenkor megbarnulnak és lehullanak, többnyire már nyár közepén.											
Közönséges vasfű	Verbena officinalis	fürt	karéjos	fűrészes	nyeles	5 tagú	levendula	hengeres				Nemesített változataival kertekben is találkozhatunk : a Verbena fajok az ágyások kedvelt nyári díszei. A vasfűhöz népi hiedelem is kapcsolódik: állítólag minden zárat, lakatot ki lehet vele nyitni. Gyógynövény is. Felálló szára végig leveles, csúcsközelben elágazó. Levelei karéjosak, a karéjok lándzsa alakúak, szélük fűrészes. Nyél nélkül vagy rövid nyéllel kapcsolódnak a szárhoz. A szár elágazó csúcsain fürtökben nyílnak a halvány levendulalila vagy kékes, kicsi virágok. Napsütötte útszélek, árokpartok viszonylag gyakori faja.											
Kúszó boglárka	Ranunculus repens	magányos	összetett	fűrészes	nyeles	5 tagú	sárga	hengeres				A boglárka fajok nagyon hasonlítanak egymásra, virágaik nagyrészt sárgáké de vannak fehér virágú fajok is. Leveleik lándzsa alakúak, vagy tenyeresen osztottak. Jobban kedvelik a nedves élőhelyeket, de nem csak itt találkozhatunk velük. A kúszó boglárka alacsony, elfekvő, heverő szárú évelő. Szára vaskos, vöröses színű, a szárcsomóknál legyökeresedő. Levelei szárnyaltak, három-öt, három karéjra tagolt, tojásdad kerületű, durván fűrészelt levélkére osztottak. A levélnyél a szárhoz hasonlóan vörösesbarna. A sárga, öt, fényes sziromból álló virágok magányosan ülnek a szár végén. A csészék finoman szőrösek. Termése aszmagcsokor, de legyökeresedő szárával is terjed. Április és június között virágzik patakok partján, nedves, vizenyős talajú réteken.											
Kúszó iglice	Ononis repens	fürt	összetett	fűrészes	nyeles	pillangós	rózsaszín	hengeres				Gyógynövény, a tövises iglicéhez hasonlóan a húgyúti betegségek ellenszere. Előbb említett rokonánál valamivel barátságosabb, mert szára szúrós, de virágainak illata hasonlóan „érdekes”.Szőrös, fásodó tövű szára inkább heverő, szinte alig emelkedik fel a földről( így is tud terjedni: egyszerűen legyökeresedik). Levelei hármasan összetettek, a levélkék tojásdadok, szélük fűrészes. Virágai- a többi pillangós faj nagy részéhez képest- nagyok. A csónak és vitorla rózsaszín, az evezők fehér színűek. Termése hüvely, mely néhány magot rejt. Gyökere a tövises iglicéhez hasonlóan erőteljes, és régen alaposan megkeserítette a szántó-vető ember életét (ekenyűg). Üdébb talajú rétek, legelők virága július é szeptember között.											
Kúszó zanót	Cytisus decumbens	fürt	visszás tojásdad	ép	ülő	pillangós	sárga	szögletes				A zanótok szárazságot tűrő, meleg igényes fajok, sokszor találkozhatunk velük sziklákon, sziklagyepeken. Sárga virágukkal „bearanyozzák” a kopár hegyoldalakat is. Alacsony termetű, heverő, vagy ritkán félig felemelkedő, szögletes, fásodó szárú évelő. Levelei egyszerűek, fordított tojásdadok vagy szálasok, ép szélűek, finoman molyhosak. A szár végig leveles. Az élénksárga pillangós virágok leveles fürtben nyílnak, az egész szárat beborítva. A kúszó szár miatt szinte szőnyeget alkotnak. Termése hüvely. Április-májusban virágzik sziklagyepeken, kopárokon, tisztásokon, rövid füvű gyepeken, sziklafalakon, sziklamélyedésekben Az egész növény mérgező!											
Kutyabenge	Frangula alnus	magányos	kerekded	ép	nyeles		fehér		sima	szürke	bogyó	Mérgező és gyógynövény is, hashajtó hatású (de csak körültekintően és mérsékletesen szabad fogyasztani), de friss kérge, bogyója veszélyes! Egy-három méter magas, fiatalon kúp alakú, cserje vagy bokor termetű fásszárú kétszikű. Kérge sima, szürke színű. Levelei tojásdadok vagy kerekdedek, ép szélűek, sima felületűek, fényesek ( a bükk leveléhez hasonlítanak). Csúcsuk hegyes vagy lekerekített. Virágai egyszerűek, fehérek, öt tagúak, csomókban vagy egyesével nyílnak. Bogyója kerek, fényes, borsszem nagyságú, eleinte piros, éretten fekete. Fája élénk citromsárga. Nedves, üde erdőkben fordul elő. Kertészeti felhasználás Kertészeti felhasználása nem ismert.											
Lándzsás hídőr	Alisma lanceolatum	buga	tojásdad	ép	nyeles	3 tagú	fehér	hengeres				A hídőrök tavak, folyók, lassú folyású patakok partján élnek. Inkább vízparti, mint igazi vízinövények. Néhány fajuk dísznövény, kerti tavakba ültetik. 20-50 cm magas, karcsú, elágazó szárú növény. Víz alatti levelei szalagszerűek, a víz felettik tojásdadok, nyelesek, ép szélűek. Virágai laza bugában nyílnak június-augusztusban. Három kerek, fehér vagy hatványrózsaszín leple van. Hazánkban nem védett, elég gyakori, egyes országokban invazív gyom.											
Lándzsás őszirózsa	Aster lanceolatus	buga	lándzsás	ép	ülő	fészek	fehér	hengeres				Az Aster nemzetség fajai invazív gyomként vannak számom tartva, mindazonáltal több faj is védett. Többnyire patakok partján, magaskórósokban válhatnak tömegessé. Elágazó szára 100-120 cm magasra nő meg. A lándzsa alakú, ép szélű, fényes zöld levelek dúsan borítják. Fészkes virágaiban a csöves virágok sárgák, a nyelves virágok fehérek, vagy ritkán halványlilák. A virágok összetett buga virágzatot alkotnak. Termése apró, szőrbóbítás kaszat. Az utóbbi években vizes talajú, bolygatott előhelyeken egyre jobban terjed, bár még nem okoz akkora gondot, mint az aranyvessző vagy selyemkóró.											
Lándzsás utifű	Plantago lanceolata	füzér	lándzsás	ép	tőálló	redukált	fehér	hengeres				Sokoldalúan hasznosítható gyógynövény: teája tüdőbaj ellen jó, belső vérzések és külső sérülések (gyulladás, zúzódás,sebek) írje, köhögés csillapító, nyálkaoldó. Vékony, egyenes szára barázdált, nem ágazik el, csúcsún ül a virágzat. Levelei keskenyek, lándzsa alakúak, ép szélűek, hegyes csúcsúak. Öt feltűnő, párhuzamos ér húzódik rajtuk végig. Tőlevélrózsát alkotnak. Virágai fehérek, füzér virágzatba tömörülnek. A csészék barna színűek, ezek közül nyúlnak ki a fehér porzók, keskeny virággyűrűt alkotva. Termése sok apró fekete magot rejtő tok. Májustól augusztusig virít, de néha még szeptemberben is találkozhatunk vele. Rétek, legelők útszélek virága.											
Lápcsillag	Narthecium ossifragum	fürt	kard	ép	tőálló	6 tagú	sárga	hengeres				Sárga, hattagú virágaival valójában olyan, mint csillagokkal lenne behintve a rét. Sajnos Magyarországon nem honos, a fénykép Skóciában készült. Csupán 15-20 cm magasságot ér el, de ennek ellenére könnyen észrevehető, feltűnő növény. Szára egyenes, nem ágazik el. Levelei nagy része tőállású, néha sárgás árnyalatúak lehetnek. Formájuk érdekes, kardszerűen görbültek. A száron csak apró, nem feltűnő murvalevelek láthatóak. Sárga, csinos virágai végálló fürtben virítanak, kellemes illatúak. Porzói sűrűn molyhosak, mintha bundát viselnének. Termése három rekeszű tok. Érés után is feltűnő, narancssárga színű. Július és szeptember között bontják virágaikat nedves, savanyú talajú tőzegmohalápokon.											
Lápi hízóka	Pinguicula vulgaris	magányos	elliptikus	ép	tőálló	egyedi*	lila	hengeres				Ez a faj- a harmatfűhöz hasonlóan- rovarok elfogásával és megemésztésével pótolja a nitrogént, mely élőhelyének, a lápok talajában nincs elég nagy mennyiségben. Rovarfogási technikája nagyon érdekes. A virágot tartó szár 10-20 cm magasra nő meg, vékony, egyenes nem ágazik el. A szár csúcsán csupán egyetlen, lila színű, fehér torkú, bókoló virág nyílik. A virág három cimpára osztott, sarkantyúja hátranyúlik. Levelei tőlevélrózsát alkotnak, a földhöz lapulnak. Elliptikus alakúak, ragadósak. A rovarokat nem mirigyszőrükkel fogják meg, mint a kereklevelű harmatfű: a levél enyves felületére odaragad a rovar, a levél széle pedig begöngyölődik, csapdába ejtve zsákmányát. Termése sok apró magot tartalmazó tok. Hazánk lápjainak ritka, eltűnőben lévő faja. Magyarországon fokozottan védett, eszmei értéke 100 000 forint.											
Leánykökörcsin	Pulsatilla grandis	magányos	összetett	ép	nyeles	6 tagú	lila	hengeres				Már március végén megjelenik selymes szőrrel borított bimbója, hogy néhány hét múlva teljes pompájában virítson a réteken. Nevét a török „kök” szóból eredeztetik, mely kéket jelent. 10-40 cm magasra nő meg. Egyenes, felálló szárát, illetve az egész növényt selymes szőrbunda borítja, ez védi a hideg tavaszi reggeleken. Levelei hosszú nyélen ülnek, tőállóak, szárnyasan szeldeltek. Halványlila, felálló, kehelyszerű virágai magányosan nyílnak a szár végén, a csészékből módosult fellevélörv felett. Termése aszmagcsokor, a magok hosszú, szőrös repítőkészülék végén ülnek. A szél segítségével nagy távolságra jutnak el a magok. Mikor nedvesség éri csavarodott szárukat, kiegyenesedik, és a magot a földbe fúrja.Gyógynövény, de mérgező is! Védett, eszmei értéke 10 000 forint.											
Lecsepült veronika	Veronica prostrata	fürt	lándzsás	fűrészes	ülő	4 tagú	kék	hengeres				A veronikák nemzetségébe általában kis termetű, szárazságtűrő fajok tartoznak. A hazai fajok virágai kék vagy lila színűek, de a kerti változatok fehérek vagy rózsaszínek is lehetnek. A legkisebb termetű veronika fajok közé tartozik, szára felálló, hengeres. Levelei lándzsásak, vagy ritkán tojásdadok, szélük fűrészes. A szár a csúcsközelben sokszor elágazik, egy egy száron több végálló fürt is nyílik. A virágok halványak, kékesfehérek. Termése tok, mely nagyszámú magot tartalmaz. Száraz, napsütötte lejtők, rétek virága.											
Lenlevelű zsellérke	Thesium linophyllon	fürt	ár	ép	ülő	4 tagú	fehér	hengeres				A család tagjai között több parazita növényt is találhatunk, mely a gazdanövényen élősködik. Egyik rokonuk pl. a fagyöngy. Igen kis méretű, és nehezen észrevehető növényke. Vékony szára felálló, végig dúsan leveles. A levelek keskenyek, szálasak, ár vagy lándzsa alakúak, ép szélűek, ülőek. A fehér, apró virágok öt tagúak, laza fürtben nyílnak. A szirmok szétállóak, hegyesek. Termése tok. Száraz sziklagyepek, lejtők, rétek virága, mellyel tavasz végén találkozhatunk.											
Libapimpó	Potentilla anserina	magányos	szárnyalt	fűrészes	nyeles	5 tagú	sárga	hengeres				A pimpók a rózsafélék családjának egyik nemzetsége. Virágaik sárgák vagy fehér színűek. Többnyire kis termetűek, sok fajuk kúszó, földön heverő szárú. A libapimpó vékony, vöröses szára a földön hever, csak levelei emelkednek fel. Páratlanul szárnyaltak, 13-23 tojásdad, nyél nélküli fűrészes szélű levélkéből állnak. Az alsó levélékék számottevően kisebbek, mint a csúcs közelében lévők. A levelek fonáka molyhos. A magányos virágok élénksárgák, nagyon rövid kocsányon nyílnak. Öt sárga, enyhén kicsípett csúcsú, fordított szív alakú szirom levél alkotja őket. Sok sárga porzója van. Termése aszmagcsokor, de legyökeresedő szárával is terjed. Legelőkön, utak szélén és réteken virágzik. Áprilistól virágzik, egész nyáron keresztül.											
Ligeti bükköny	Vicia sylvatica	fürt	összetett	ép	nyeles	pillangós	fehér	szögletes				A pillangósvirágúak családjába számtalan ismert olyan növény tartozik, mellyel a mindennapi életben is találkozunk, akár táplálékként (borsó, babfélék), vagy takarmányként (lucerna). A bükköny nemzetség igen sok fajt tartalmaz (Hazánkban 21 fajuk fordul elő vadon), sárga, lila, fehér színekben pompáznak. A ligeti bükkönynek vékony, szögletes szára van. A bükkönyök levelei párosan szárnyaltak, a levél csúcsán kacs található. Ezzel tekeredik rá a támasztékul szolgáló szomszédos növényekre. Széles vitorlájú virágai fürtökben nyílnak. A vitorla alapszíne fehér, vagy halványlila, feltűnő, sötétebb lila csíkozással, mely éles kontrasztot alkot vele. A csónak fehér, csúcsán lehet sötétebb,lila folt. Az evezők külső oldala a vitorla alapszínéhez hasonló, belső fele pedig ugyanúgy sötéten mintázott. Termése hüvely. Június vége és július között virágzik üde erdőkben, utak szélén, tisztásokon.											
Ligeti perje	Poa nemoralis	buga	szálas	ép	szárölelő	redukált	sárga	hengeres				Típusjelző, félszáraz cseres-tölgyesek, tölgyesek, gyertyános tölgyesek és bükkösök faja. Savanyú talajokat kedvel. 40-80 cm-es magasságot elérő pázsitfűféle. Szára vékony, felálló szalmaszár. Levelei keskenyek, szálasak, párhuzamos erűek, levélhüvellyel kapcsolódóak. Virágai jelentéktelenek, sárgás színűek, laza, bókoló bugában nyílnak nyáron.											
Ligeti seprence	Stenactis annua subsp. strigosa	sátorozó	lándzsás	ép	ülő	fészek	fehér	hengeres				Hazánkban a seprence leggyakoribb alfaja a ligeti seprence, néhol tömeges megjelenésű lehet. A seprencét seprővirág és seprőke néven is emlegetik. 40-80 cm magasságot elérő, felálló szárú egynyári növény. Szára elágazó, szőröktől érdes. Alsó levelei széles lándzsa alakúak, rövid nyelűek. A felsők lándzsásak, ülők. Mindkét levél széle ép. Sátorozó virágzatát másfél-két cm átmerőjű virágok alkotják. Csöves és nyelves virágok alkotják. A csöves virágok sárgák, a nyelves virágok igen keskenyek, fehérek. Termése apró kaszat. Június és október között találkozhatunk vele ligeterdőkben, réteken, vágásokban, utak mentén. Özönnövény.											
Ligeti seprence (annua)	Stenactis annua subsp. Annua	sátorozó	lándzsás	ép	ülő	fészek	kék	hengeres				A seprence egyik alfaja a halványkék virágú subsp. annua. Seprővirágnak vagy seprőkének is hívják a seprencéket. 40-80 cm magasra növő egynyári növény. Szára felálló, elágazó, szőrös. Alsó levelei oválisak, széles lándzsásak, nyelesek, a felsők ülők és lándzsa alakúak. Szélük ép. Másfél centi átmérőjű virágai sátorozó virágzatot alkotnak. A csöves virágok sárgák, a nyelves virágok egy mm szélesek, halványlilák, kékes árnyalatúak. Termése apró kaszat. Június, szeptember hónapokban virágzik ligeterdőkben, réteken, patakpartokon, vágásokban, utak mentén. Gyorsan terjedő, behurcolt gyomfaj.											
Ligeti szőlő	Vitis silvestris	fürt	karéjos	ép	nyeles	redukált	sárga	hengeres				Több szőlőfaj is él vadon. A ligeti szőlő őshonos, a bortermő szőlő őse. Ritka faj, az Észak-Amerikából behozott fajok elnyomják. Védett is, eszmei értéke 10 000 forint. Hosszú, kapaszkodó hajtásaival magasra felkúszik a fákon, cserjéken. A kapaszkodást kacsok vagy tapadókorongok segítik elő. A Vitis- nemzetség fajainak levele nem összetett, hanem karéjos. A ligeti szőlőnek három karéjú ( szív kerületű) fűrészes szélű, hosszú nyelű levelei vannak, melyek átellenes állásúak. Sárgás vagy fehér virágai fürtben nyílnak, termése fekete bogyó, sokkal kisebb, mint a nemes szőlő fajok termése. Ártéri ligeterdőkben fordul elő. Magyarországon az 1800-as évek végén jelent meg a filoxéra, vagyis szőlőgyökér-tetű. A betegségnek az ültetvények nagy része áldozatul esett. Pótlásukra Észak-Amerikából hoztak be szőlőfajokat, melyek ugyan jobban ellenálltak a betegségnek, viszont kiszorították az olyan őshonos fajokat, mint a ligeti szőlő.											
Ligeti zsálya	Salvia nemerosa	fürt	lándzsás	fűrészes	nyeles	ajakos	kék	szögletes				A zsályák az árvacsalánfélék közé tartoznak. Ennek a családnak általában közös jellemzője szögletes szár, és hogy valamilyen illóolajat tartalmaznak. A zsálya levelét vagy szárát megdörzsölve érezhető jellegzetes illata. Első pillantásra nagyon hasonlít a mezei zsályához, halványabb virágú változatának tűnhet. Valójában a ligeti zsálya nem azonos a mezeivel. A ligeti kevésbé termetes, szögletes, négy élű szára is vékonyabb. Virágai kisebbek, nem sötét ibolya lilák, világosabbnak tűnnek. Ennek oka a halvány színű murvalevél. A virágok keskeny, dús fürtöt alkotnak, sötétlilák. Levelei tojásdadok vagy lándzsásak, a szélük fűrészes. A száron párosával állnak. Termése makkocska. Rétek, legelők, kaszálók virága, mely májustól akár október elejéig is virít.											
Lila ökörfarkkóró	Verbascum phoeniceum	fürt	tojásdad	fűrészes	tőálló	5 tagú	lila	hengeres				Az Verbascum nemzetség tagjai nagyrészt sárga vagy fehér virágúak, kivételt a lila ökörfarkkóró képez majdnem fekete virágaival. Karcsú, felálló szára akár méteres magasságot is elérhet, de többnyire 35-70 cm nagyságú. Levelei nagyok, tojásdadok, tőlevélrózsát alkotnak, fűrészes szélűek. A még ki nem nyílt bimbók öt szögletűek. A virágok a hajtás csúcsán fürtben nyílnak, hosszú kocsányon. A színük sötétlila, majdnem fekete. A porzók is lila színűek. A virágok a legkisebb érintésre is lehullanak, csokorba sem érdemes gyűjteni, mert hamar leperegnek Termése hegyes csúcsú tok. Májusban, néha még júniusban is virít meleg, napsütötte lejtőkön, utak szélén, réteken.											
Liliomfa-fajok	Magnolia sp.	magányos	lándzsás	ép	nyeles		bíbor		sima	szürke	makkocska	Amerika és Japán egyes részéből származnak. Sokféle nemes változatuk létezik. Az első hazai példányokat a Budai arborétumba telepítették. Szinte minden településen találhatunk egyet-egyet ezekből a szép, gyakran fehér, vagy rózsaszín virágú fajokból. Virágzási idejük változatos, gyakran tavasz közepén, még lombfakadás előtt nyílnak. Levélalakjuk szintén nagy változatosságot mutat, egyes fajok örökzöldek, mások lombhullatóak. A levélméretük is fajonként változhat, egyes fajok levele nagy, bőrszerű, másoknak enyhén karéjos, vagy fűzfa szerű vékony leveleik vannak. Termésük makkocska, japánban egyes fajok termését különleges csemegeként fogyasztják. Szinte minden egyes kertészetben megtalálható valamelyik magnolia faj. Hazánkban a Nagyvirágú liliomfával (Magnolia x soulangiana) találkozhatunk a leggyakrabban.											
Lisztes berkenye	Sorbus aria	buga	tojásdad	fűrészes	nyeles		fehér		sima	szürke	almatermés	Magyarországon (és egész Dél-Közép Európában is) őshonos meszes, hordalékos talajokat kedvelő berkenye faj. A természetben gyakran szabálytalan, boltozatos koronát fejleszt, gyakran növeszt egy tőről több törzset. Hajtása, levelének fonáka, és a rügy csúcsa is szürkén molyhos. Leveleinek alakja rendkívül változatos, gyakran tojásdad, vagy enyhén karéjos alakú. A levél széle kétszeresen fűrészes. Buga virágzatát 1-2 cm-es nagyságú krémfehér virágok alkotják. A virágok 5 szirmúak, a szirmok vége lekerekített. Termése fakó vörös színű, két mag található benne. A termés húsa fanyar, az ember számára enyhén mérgező. A madarak szívesen fogyasztják. A többi hazai berkenyefajjal és a vadkörtével is képez hibrideket. Szép virága, termése és lombja miatt sokfelé és régóta ültetik. Virágának illata nem túl kellemes. Sokféle nemesített változata létezik, köztük a magyar „Favorit” nevű amelynek koronája keskeny tojásdad alakú.											
Lómenta	Mentha longifolia	fürt	tojásdad	fűrészes	nyeles	ajakos	lila	szögletes				A menták- az ajakosvirágúak túlnyomó részéhez hasonlóan- illóolajokat tartalmaznak, például mentholt. Gyógy-és fűszernövényként is használják őket, kellemes ízű tea készül belőle. Szára elágazó, a többi mentához hasonlóan szögletes. Levelei tojásdadok szélük fűrészes, ülőek, a száron párosan, keresztben átellenesen állnak. A növény bármely részét megdörzsölve érezhető a jellegzetes mentolos illat. Az egész növény fehér szőrök borítják, amitől puha, molyhos tapintású. A halványlila ajakos virágok tömött szárvégi fürtben virágoznak. Termése makkocska. Olyan helyeken virágzik, ahol a talaj mindig vizenyős-nedves valamennyire: patakok partján, mocsárréteken.											
Lónyelvű csodabogyó	Ruscus hipoglossum	magányos	lándzsás	ép	ülő	6 tagú	lila	hengeres				Magyarországon két csodabogyó faj él. Mediterrán flóraelemek, a Dunántúlon fordulnak elő. Örökzöld évelők. Mindkét faj védett, a lónyelvű csodabogyó eszmei értéke 10 000 forint. Örökzöld, bokros növekedésű faj. Érdekessége az ún. fillokladium, vagyis levélszerű szármódosulás. Ami a növény levelének tűnik, az tulajdonképpen fotoszintetizálásra módosult, ellaposodott szár. Ezen a tojásdad, fényes zöld, 1-4 cm hosszú levélen található egy kisebb és keskenyebb pikkelylevél, és a virág illetve termés. A levél csúcsa nem szúrós, mint a másik fajé. Virága igen egyszerű, a levélnek tűnő szár közepéből nő ki, lilás vagy sárga színű. Ebből fejlődik ki aztán a piros, 1 cm nagyságú, fényes bogyó. A Dunántúl bükköseiben, gyertyános-tölgyeseiben, szikla-és szurdokerdőiben találkozhatunk vele.											
Lózsálya Salvia	verticillata	örv	lándzsás	fogas	nyeles	ajakos	lila	szögletes				A népnyelv gyűrűs zsályának hívja a gyűrűsen álló virágai miatt, Főleg utak mellett gyakori. Az egész országban megtalálható. Hegyvidéki gyomtársulások, bolygatott talajon, gyepeken gyakori. Szára elágazó, akár fél méter magasra is megnőhet. Tőlevelei többnyire szív alakúak,ráncosak, gyakran szőrösek. Virágzatát sok, a mezei zsályánál apróbb méretű virág alkotja. A virágok színe ibolyakék az 5 sziromlevél összenőtt.											
Lucfenyő	Picea abies	toboz	tűlevél	ép	ülő		barna		cserepes	barna	toboz	Észak Európa vadregényes fenyveseinek legnagyobb állományalkotó fafaja. Hazánkban nem kifejezetten őshonos. Fája az egyik legjobban keresett asztalos alapanyag. Erdészeti szempontból a Trianoni békeszerződés legfájdalmasabb pontja az Erdélyi és Felvidéki lucfenyveseink elvesztése volt. Hazánk erdeinek 1%-án található meg. Kedveli a hűvös, páradús, csapadékos klímát, ezért elsősorban hegyvidékeken (Alpok, Kárpátok) találkozhatunk vele. Az Erdei fenyővel ellentétben jól tűri az árnyalást. Kérge fiatalon sima, majd később cserepes, barna színű. Tűi 2 centiméteresek, szúrósak, nagyon nehezen bomlanak el, a lucfenyvesek alján többek között ezért sincs számottevő aljnövényzet. Tányérgyökérzete miatt érzékeny a széldöntésekre, (Magas-Tátra 2004) rovarkárosítói közül a szúbogarak támadására nagyon érzékeny. Nemcsak az erdőkben, hanem kertekben, parkokban is találkozhatunk ezzel a szabad állásban is impozáns alakú fenyőfélével. Sok csemetekert direkt karácsonyfa céllal is termeszti. Aránylag sok nemesített kertészeti változata is létezik, különösen ritka az „Albospica” fantázianevű, amelynek friss hajtásai fehér színűek.											
Macskafarkú veronika	Veronica spicata	fürt	lándzsás	fűrészes	ülő	4 tagú	lila	hengeres				Nevét bizonyára a virágzat alakjáról kapta: az elkeskenyedő fürt valóban a macska farkára hasonlít. Élénk színű virágai messziről szembetűnnek. Közepes magasságú virág. Vékony szára felálló, egyenes, elágazó lehet. Levelei keskeny lándzsásak vagy szálasak, szélük fűrészes, bár ez inkább csak közelebbről vehető észre. A száron keresztben átellenesen állnak. Virágai aprók, dús szárvégi fürtöt alkotnak. Színük lila vagy ibolyakék. A virágok érdekessége, hogy a porzószálak hosszan kinyúlnak a szirmok közül-emiatt lesz a virág borzas hatású. Termése szív alakú tok. Száraz réteken, kaszálókon, füves lejtőkön, utak szélén virágzik júniustól néha egészen novemberig, az első fagyokig.											
Madárberkenye	Sorbus aucaparia	ernyő	szárnyalt	fűrészes	nyeles		fehér		sima	szürke	almatermés	Európában, Észak-Amerikában és Kis-Ázsiában őshonos berkenye faj. Akár 200 méterrel a tengerszint felett is találkozhatunk vele. A Házi berkenye (Sorbus domestica) mellet ez a másik szárnyasan összetett levelű berkenyénk. Igaz hegyvidéki faj, a termőhellyel szemben nem támaszt túl nagy igényt. Az északi népek régen boszorkányűző tulajdonsággal ruházták fel. Kérge idős korában is sima, szürke színű. Levele páratlanul szárnyaltak, a levélkék széle fűrészes, a levélfelület matt. Virágai a többi berkenyéhez hasonlóan krémfehér árnyalatúak, nagy lapos bog-ernyőben nyílnak. Termése korallpiros színű, érés után nem hullik a földre, hanem a következő tavaszig a fán marad (már ha a madarak ezt hagyják). Nevéből is látszik, hogy sok hazai madárfaj elsőrendű téli táplálékát jelenti bogyótermése, amelyből elsőrendű pálinka, szörp és lekvár készíthető. Dekoratív megjelenése, szép virágai és sokféleképpen hasznosítható termése miatt kedvelt díszfa. Termésének C-vitamin tartalma vetekedik a citroméval.											
